Location,Cycling,Walking
AL_Birmingham,173,2029
AL_Montgomery,187,1228
AK_Anchorage,1708,4074
AZ_Chandler,777,1163
AZ_Gilberttown,360,606
AZ_Glendale,778,1492
AZ_Mesa,1802,3059
AZ_Phoenix,4640,11800
AZ_Scottsdale,1119,1945
AZ_Tucson,5527,8178
CA_Anaheim,1389,2748
CA_Bakersfield,659,2025
CA_ChulaVista,279,1536
CA_Fontana,154,602
CA_Fremont,371,1359
CA_Fresno,1533,3469
CA_Irvine,1769,3933
CA_LongBeach,2217,5883
CA_LosAngeles,17244,63917
CA_Modesto,661,1022
CA_Oakland,4346,7585
CA_Oxnard,542,1388
CA_Riverside,1126,3540
CA_Sacramento,4935,6233
CA_SanBernardino,265,1543
CA_SanDiego,5885,18537
CA_SanFrancisco,14833,43363
CA_SanJose,4023,7915
CA_SantaAna,1629,3221
CA_Stockton,658,1737
CO_Aurora,598,2379
CO_ColoradoSprings,1091,5146
CO_Denver,7019,13670
DC_Washington,9347,37055
FL_Hialeah,171,1861
FL_Jacksonville,1676,5371
FL_Miami,1237,6821
FL_Orlando,532,2384
FL_St.Petersburg,1381,2849
FL_Tampa,2128,4194
GA_Atlanta,1616,9288
ID_Boise,3860,2933
IL_Chicago,15686,77753
IN_FortWayne,382,1714
IN_Indianapolis,1617,7733
IA_DesMoines,431,2771
KS_Wichita,476,2402
KY_Lexington,1286,5778
LA_BatonRouge,693,3759
LA_NewOrleans,3135,7611
LA_Shreveport,63,1649
ME_Baltimore,2174,17168
MA_Boston,5260,47880
MI_Detroit,655,6589
MN_Minneapolis,8334,13192
MN_St.Paul,1572,6101
MS_Kansas,649,4512
MS_St.Louis,1150,6022
NE_Lincoln,2127,4317
NE_Omaha,393,5858
NV_Henderson,186,1535
NV_LasVegas,1052,4820
NV_NorthLasVegas,179,939
NV_Reno,982,3727
NJ_Jersey,582,10525
NJ_Newark,251,8360
NY_Buffalo,964,6498
NY_NewYork,28458,378352
NY_Rochester,1021,5320
NM_Albuquerque,3379,5198
NC_Charlotte,682,7705
NC_Durham,971,3300
NC_Fayetteville,190,4212
NC_Greensboro,351,2635
NC_Raleigh,1175,4213
NC_Winston-Salem,172,2116
OH_Cincinnati,596,7105
OH_Cleveland,925,7015
OH_Columbus,2780,11023
OH_Toledo,388,3351
OK_Oklahoma,494,4464
OK_Tulsa,657,3727
OR_Portland,18315,17030
PA_Philadelphia,11755,51760
PA_Pittsburgh,1893,16121
TN_Memphis,441,5280
TX_Arlington,367,3150
TX_Austin,6251,10737
TX_CorpusChristi,464,2371
TX_Dallas,821,10289
TX_ElPaso,413,5175
TX_FortWorth,488,3859
TX_Garland,77,1102
TX_Houston,4220,21092
TX_Irving,174,1705
TX_Laredo,43,1367
TX_Lubbock,539,2490
TX_Plano,122,1041
TX_SanAntonio,1011,12048
VA_Chesapeake,268,1364
VA_Norfolk,576,5233
VA_Richmond,1960,4027
VA_VirginiaBeach,1629,5014
WA_Seattle,11970,31863
WA_Spokane,1130,3199
WA_Tacoma,654,3401
WI_Madison,6793,12082
WI_Milwaukee,2151,12668
