State,Walking,Cycling
AL,5297,524
AK,4074,1708
AZ,32434,19085
AR,1268,60
CA,245901,88400
CO,33604,21276
DC,37055,9347
FL,39721,16158
GA,12377,2475
ID,2933,3860
IL,85545,17162
IN,12286,3001
IA,5870,861
KS,6123,1118
KY,5778,1286
LA,14385,4404
ME,17168,2174
MA,71077,10038
MI,20853,4315
MN,21448,10293
MS,1054,70
NE,10175,2520
NV,11021,2399
NJ,25206,1128
NM,6262,3981
NY,400691,31157
NC,27328,4509
OH,35121,5198
OK,10504,1873
OR,25516,25627
PA,72374,14072
TN,11333,1526
TX,97107,17732
VA,24215,5739
WA,45797,14994
WI,27100,9415
